"2013-12-31", 2.17 
"2014-01-02", 2.17 
"2014-01-03", 2.17 
"2014-01-06", 2.17 
"2014-01-07", 2.17 
"2014-01-08", 2.17 
"2014-01-09", 2.17 
"2014-01-10", 2.17 
"2014-01-13", 2.17 
"2014-01-14", 2.17 
"2014-01-15", 2.17 
"2014-01-16", 2.17 
"2014-01-17", 2.17 
"2014-01-21", 2.17 
"2014-01-22", 2.17 
"2014-01-23", 2.17 
"2014-01-24", 2.17 
"2014-01-27", 2.17 
"2014-01-28", 2.17 
"2014-01-29", 2.17 
"2014-01-30", 2.17 
"2014-01-31", 2.17 
"2014-02-03", 2.17 
"2014-02-04", 2.17 
"2014-02-05", 2.17 
"2014-02-06", 2.17 
"2014-02-07", 2.17 
"2014-02-10", 2.17 
"2014-02-11", 2.17 
"2014-02-12", 2.17 
"2014-02-13", 2.17 
"2014-02-14", 2.17 
"2014-02-18", 2.17 
"2014-02-19", 2.17 
"2014-02-20", 2.17 
"2014-02-21", 2.17 
"2014-02-24", 2.17 
"2014-02-25", 2.17 
"2014-02-26", 2.17 
"2014-02-27", 2.17 
"2014-02-28", 2.17 
"2014-03-03", 2.17 
"2014-03-04", 2.17 
"2014-03-05", 2.17 
"2014-03-06", 2.36 
"2014-03-07", 2.36 
"2014-03-10", 2.36 
"2014-03-11", 2.36 
"2014-03-12", 2.36 
"2014-03-13", 2.36 
"2014-03-14", 2.36 
"2014-03-17", 2.36 
"2014-03-18", 2.36 
"2014-03-19", 2.36 
"2014-03-20", 2.36 
"2014-03-21", 2.36 
"2014-03-24", 2.36 
"2014-03-25", 2.36 
"2014-03-26", 2.36 
"2014-03-27", 2.36 
"2014-03-28", 2.36 
"2014-03-31", 2.36 
"2014-04-01", 2.36 
"2014-04-02", 2.36 
"2014-04-03", 2.36 
"2014-04-04", 2.36 
"2014-04-07", 2.36 
"2014-04-08", 2.36 
"2014-04-09", 2.36 
"2014-04-10", 2.36 
"2014-04-11", 2.36 
"2014-04-14", 2.36 
"2014-04-15", 2.36 
"2014-04-16", 2.36 
"2014-04-17", 2.36 
"2014-04-21", 2.36 
"2014-04-22", 2.36 
"2014-04-23", 2.36 
"2014-04-24", 2.36 
"2014-04-25", 2.36 
"2014-04-28", 2.36 
